,,0,1,2,3,4
years_investing_securities,unique,6,6,6,6,6
years_investing_securities,top,> 20 years,> 20 years,10 - 15 years,> 20 years,5 - 10 years
years_investing_securities,freq,180,271,128,163,209
years_investing_securities,mean,,,,,
years_investing_securities,std,,,,,
years_investing_securities,min,,,,,
years_investing_securities,25%,,,,,
years_investing_securities,50%,,,,,
years_investing_securities,75%,,,,,
years_investing_securities,max,,,,,
income_information_type,count,286,625,437,475,660
income_information_type,unique,3,3,3,3,3
income_information_type,top,individual,individual,individual,individual,individual
income_information_type,freq,128,286,276,251,360
income_information_type,mean,,,,,
income_information_type,std,,,,,
income_information_type,min,,,,,
income_information_type,25%,,,,,
income_information_type,50%,,,,,
income_information_type,75%,,,,,
income_information_type,max,,,,,
